ts,record_id,market_index,funding_rate,cumulative_funding_rate_long,cumulative_funding_rate_short,oracle_price_twap,mark_price_twap
2022-03-02 16:11:03-05:00,19559,2,11821267063333,48277090565686547,37720356374425716,29417820057934,29446191098886
2022-03-02 16:16:13-05:00,19560,11,129853033333,40492358229567,40492358229567,460028341268,460339988548
2022-03-02 17:00:01-05:00,19561,3,-397780742083,-103406040207145,-162403258998723,905634307406,904679633625
2022-03-02 17:00:02-05:00,19562,7,-121116138333,243092214229755,240642069665280,319997065203,319706386471
2022-03-02 17:00:02-05:00,19563,2,10847026551666,48287937592238213,37731203400977382,29462214137786,29488247001510
2022-03-02 17:00:02-05:00,19564,6,3384664166,11725648920200,9510442675438,16420994861,16429118055
2022-03-02 17:00:02-05:00,19565,9,1793960000,678815112868,678815112868,9383415203,9387720707
2022-03-02 17:00:05-05:00,19566,4,141122296666,203020714602903,36413283941146,833449120339,833787813851
2022-03-02 17:00:06-05:00,19567,5,939835947916,2908987499839819,1279438147386021,4085334394872,4087590001147
2022-03-02 17:00:07-05:00,19568,12,-285422905416,43449929900857,29061510491422,1104064541075,1103379526102
2022-03-02 17:00:07-05:00,19569,1,81748327505833,1001316470280418571,449659509099488794,438314299769010,438510495755024
2022-03-02 17:00:10-05:00,19570,8,-10616495416,157545858592769,77098742992174,185547170086,185521690497
2022-03-02 17:00:15-05:00,19571,11,70361964166,40562720193733,40562720193733,460646999961,460815868675
2022-03-02 17:00:16-05:00,19572,0,56601909583,1474694156548345,403264446652119,1006041067090,1006176911673
2022-03-02 17:00:24-05:00,19573,10,2373719583,1083983238718,1083983238718,8226838174,8232535101
2022-03-02 18:00:02-05:00,19574,6,3529177500,11729178097700,9513971852938,16482904398,16491374424
2022-03-02 18:00:07-05:00,19575,10,1593774166,1085577012884,1085577012884,8262767466,8266592524
2022-03-02 18:00:10-05:00,19576,7,-130981010000,242961233219755,240511088655280,323530244600,323215890176
2022-03-02 18:00:20-05:00,19577,1,48658209727083,1001365128490145654,449708167309215877,440074089252112,440190868955457
2022-03-02 18:00:20-05:00,19578,5,496588029583,2909484087869402,1279934735415604,4094641988655,4095833799926
2022-03-02 18:00:27-05:00,19579,0,29005462083,1474723162010428,403293452114202,1009725128841,1009794741950
2022-03-02 18:00:27-05:00,19580,12,-166949560833,43282980340024,28894560930589,1105754990562,1105354311616
2022-03-02 18:00:27-05:00,19581,2,10186023886666,48298123616124879,37741389424864048,29607506606984,29631953064312
2022-03-02 18:00:27-05:00,19582,8,-15094315416,157530764277353,77083648676758,186747807322,186711580965
2022-03-02 18:00:28-05:00,19583,11,90039905000,40652760098733,40652760098733,463114335539,463330431311
2022-03-02 18:00:29-05:00,19584,4,170033454583,203190748057486,36583317395729,837664646067,838072726358
2022-03-02 18:00:29-05:00,19585,3,-444358694583,-103850398901728,-162847617693306,914548400126,913481939259
2022-03-02 18:03:22-05:00,19586,9,2176927083,680992039951,680992039951,9427507738,9432732363
2022-03-02 19:00:13-05:00,19587,0,64961964166,1474788123974594,403358414078368,1009711970362,1009867879076
2022-03-02 19:00:24-05:00,19588,3,-541587963333,-104391986865061,-163389205656639,919366547316,918066736204
2022-03-02 19:00:25-05:00,19589,4,157765600416,203348513657902,36741082996145,837448372378,837827009819
2022-03-02 19:00:33-05:00,19590,7,-70123408750,242891109811005,240440965246530,323457259088,323288962907
2022-03-02 19:00:33-05:00,19591,10,3210167916,1088787180800,1088787180800,8238133498,8245837901
2022-03-02 19:00:33-05:00,19592,2,13908257544583,48312031873669462,37755297682408631,29579403626167,29612783444274
2022-03-02 19:00:39-05:00,19593,9,3435429583,684427469534,684427469534,9419584236,9427829267
2022-03-02 19:00:39-05:00,19594,12,-137450827500,43145529512524,28757110103089,1103981192752,1103651310766
2022-03-02 19:00:40-05:00,19595,8,-7599068333,157523165209020,77076049608425,186488677508,186470439744
2022-03-02 19:00:40-05:00,19596,6,6420439583,11735598537283,9520392292521,16430573857,16445982912
2022-03-02 19:00:52-05:00,19597,1,71669720945833,1001436798211091487,449779837030161710,440010472684864,440182480015134
2022-03-02 19:01:03-05:00,19598,11,171628311250,40824388409983,40824388409983,463066907597,463478815544
2022-03-02 19:01:52-05:00,19599,5,595060021666,2910079147891068,1280529795437270,4094968269894,4096396413946
2022-03-02 20:00:00-05:00,19600,5,696863849583,2910776011740651,1281226659286853,4096303600874,4097976074113
2022-03-02 20:00:00-05:00,19601,7,-155501954166,242735607856839,240285463292364,325931909194,325558704504
2022-03-02 20:00:26-05:00,19602,0,78262775000,1474866386749594,403436676853368,1007827295878,1008015126538
2022-03-02 20:00:26-05:00,19603,8,-2664743333,157520500465687,77073384865092,186019753911,186013358527
2022-03-02 20:00:29-05:00,19604,3,-605146127083,-104997132992144,-163994351783722,920234870052,918782519347
2022-03-02 20:01:00-05:00,19605,12,-300524972500,42845004540024,28456585130589,1106375426101,1105654166167
2022-03-02 20:01:39-05:00,19606,6,5664927083,11741263464366,9526057219604,16435518916,16449114741
2022-03-02 20:01:39-05:00,19607,10,3140233333,1091927414133,1091927414133,8219097629,8226634189
2022-03-02 20:01:41-05:00,19608,1,29344957052916,1001466143168144403,449809181987214626,439530773320330,439601201217257
2022-03-02 20:01:42-05:00,19609,4,138865365000,203487379022902,36879948361145,838007926988,838341203864
2022-03-02 20:05:21-05:00,19610,9,4620025000,689047494534,689047494534,9413232907,9424320967
2022-03-02 20:07:12-05:00,19611,2,8638323876666,48320670197546128,37763936006285297,29579859653967,29600591631271
2022-03-02 20:09:23-05:00,19612,11,120140414583,40944528824566,40944528824566,463092576926,463380913921
2022-03-02 21:00:01-05:00,19613,7,-205469464583,242530138392256,240079993827781,331492205278,330999078563
2022-03-02 21:00:03-05:00,19614,3,-645079201250,-105642212193394,-164639430984972,923311079002,921762888919
2022-03-02 21:00:06-05:00,19615,0,187381432500,1475053768182094,403624058285868,998039367730,998489083168
2022-03-02 21:00:11-05:00,19616,8,17292559166,157537793024853,77090677424258,185032408296,185073910438
2022-03-02 21:00:22-05:00,19617,10,3195000833,1095122414966,1095122414966,8194910176,8202578178
2022-03-02 21:00:22-05:00,19618,12,-318821234583,42526183305441,28137763896006,1106819520962,1106054349999
2022-03-02 21:00:28-05:00,19619,4,120101314583,203607480337485,37000049675728,835192385488,835480628643
2022-03-02 21:00:28-05:00,19620,6,6797901250,11748061365616,9532855120854,16391406531,16407721494
2022-03-02 21:01:10-05:00,19621,2,7398122282916,48328068319829044,37771334128568213,29531495398764,29549250892243
2022-03-02 21:05:33-05:00,19622,9,3638571666,692686066200,692686066200,9380093194,9388825766
2022-03-02 21:05:39-05:00,19623,11,169235972500,41113764797066,41113764797066,461791264025,462197430359
2022-03-02 21:07:02-05:00,19624,1,71112057408750,1001537255225553153,449880294044623376,438803182368414,438973851306195
2022-03-02 21:07:33-05:00,19625,5,1214105740833,2911990117481484,1282440765027686,4093046614571,4095960468349
2022-03-02 22:00:03-05:00,19626,8,47288299583,157585081324436,77137965723841,183613227650,183726719569
2022-03-02 22:00:03-05:00,19627,4,122507179583,203729987517068,37122556855311,829394616856,829688634087
2022-03-02 22:00:03-05:00,19628,5,1423853213333,2913413970694817,1283864618241019,4083417732333,4086834980045
2022-03-02 22:00:03-05:00,19629,3,-595068192500,-106237280385894,-165234499177472,923623916016,922195752354
2022-03-02 22:00:12-05:00,19630,7,-156501101666,242373637290590,239923492726115,330385504374,330009901730
2022-03-02 22:00:13-05:00,19631,12,-292034865416,42234148440025,27845729030590,1105798212881,1105097329204
2022-03-02 22:01:22-05:00,19632,10,3610121250,1098732536216,1098732536216,8145338636,8154002927
2022-03-02 22:01:51-05:00,19633,9,3736886250,696422952450,696422952450,9346519803,9355488330
2022-03-02 22:01:51-05:00,19634,0,185814395833,1475239582577927,403809872681701,993066234460,993512189010
2022-03-02 22:03:55-05:00,19635,1,85461369757083,1001622716595310236,449965755414380459,438071333325937,438276440613354
2022-03-02 22:04:16-05:00,19636,6,7236709583,11755298075199,9540091830437,16285516044,16302884147
2022-03-02 22:05:38-05:00,19637,2,5609940092500,48333678259921544,37776944068660713,29379975012490,29393438868712
