ts,record_id,user_authority,user,direction,collateral_before,cumulative_deposits_before,amount
2022-05-09 19:19:26-04:00,198505,4nURFcFGXPgi68c1wSBoLH2FsgpQRaGKhkmSFoTpHwmb,HQHqUdzwcuBdT4F2daqj3GCwRPkRuMzQeJfbzq2tZNq2,DepositDirection.WITHDRAW(),69533264,69360946,6197232
2022-05-09 19:19:36-04:00,198506,6UXqfsrTD2LR8qknanecMAYJCrXrH4dFXikaXovijnwp,DAsAJynKYM36yMhzcPkT6HrDrsMbUMh9BCaHLm13djYM,DepositDirection.WITHDRAW(),303931362,-435993948,19978683
2022-05-09 19:19:36-04:00,198507,7hKLYg2Xwb3R8akkmcHjFer1pU9rFfcYbdtg8Zgj9az3,9FxB8iV6jRWY9nBh2tLSFZRv1kPJYGLZom47Ui4tVUii,DepositDirection.WITHDRAW(),12851687959,11651636182,703135204
2022-05-09 19:19:36-04:00,198508,3nRgcsSdDx5Ryqv9zpm4i6TVCCcNU4qibq9dF7BsXyte,EyZ8BsdUuQidK5TtFTRU5LDYNpHcgKDMqJDnixGxiw4S,DepositDirection.WITHDRAW(),1004558405,-448033080,91163768
2022-05-09 19:19:36-04:00,198509,Dc8y7RW1H4UDgJKGrLEMkjs1z67iqey3HFb35Yj7AEp8,EUYJa4Hq4nPVm8tWe1topbuJJ4EX2uzn6z7q31vEGaWx,DepositDirection.WITHDRAW(),1447928961,391053627,158488112
2022-05-09 19:19:36-04:00,198510,4h3hv5v7YvH8JBRMeXoDHedwFPPQ9rdgZCmuKDdUcJcM,2FKCoDWbGP1uZfwE9fZ3r3ZFPSH6rTEn4s89954Xc4re,DepositDirection.WITHDRAW(),114181929,185641777,16861465
2022-05-09 19:19:36-04:00,198511,7xv2boX9u7yhEqyWP3v59yKxw8xRHdccS6NS4LkMz4ad,74eagGYAvCR2iu6aApppL9BkdaRsFxSraxaUyiP1Umk7,DepositDirection.WITHDRAW(),170499895,162805062,11783521
2022-05-09 19:19:43-04:00,198512,C5QshFTXo5KmfVdraDxNFhW8qs3DgMQG8oXTWkSF18Mc,ASWjkz6t9pfDj6LLpEQp1pkPa4CEWnGVzNmQ3mG3GNQ4,DepositDirection.WITHDRAW(),6349082292,-45389110000,434000000
2022-05-09 19:19:46-04:00,198513,7YW8GhJS3TwYBq714bykZTkvvkVh9hL8CDgTSRodFyUh,4xN4oFMn5qjyZYCvwiE1xyWri7brS1ACUSZ1BsS2zQ3w,DepositDirection.WITHDRAW(),2011418579,-144000000,61000000
2022-05-09 19:19:46-04:00,198514,DVUwfksDZozUmuMNtXkKf9zjrEyLUhr8osZvs9rXMLVv,HLSJPdPRvYxFF29yBDesuqCVM5SVMM15q7KAMjcbPJhv,DepositDirection.WITHDRAW(),338717987,-372003769,81232455
2022-05-09 19:19:46-04:00,198515,HhNBtaFNuFSLewRgxghSmTg3CG6tfa6nhcToWwsfPk8t,4cX9yDkMyzN9AR85xqVcdrWNUqpVgX8KxTyBFmRBaKUm,DepositDirection.WITHDRAW(),63738667,46289815,4211856
2022-05-09 19:19:53-04:00,198516,DgsQgzkRGC81h6UCKAkLA5j7A8bzYYXre57Z8g5aJnwh,8QTAu7aDZT7i5o1NrhEossKq96yZ8snnpNxtgMKZoXwo,DepositDirection.DEPOSIT(),295260494,48000000,1200000000
2022-05-09 19:20:01-04:00,198517,6L9SWKz1eh3MLAKit6vPVqQu4mnJDcjFGoTqxJhBmT84,2z6spqZ8ZYTN8yamfS4CTFpW6ytPrG193DnNGvVXNb3X,DepositDirection.WITHDRAW(),1319713107,735726016,179104182
2022-05-09 19:20:01-04:00,198518,E6kbWyacSGLENcymda4JxW39Be3Fg2bo9TRCUzFQ7cy8,6kQAexZtNzNeATwLifMH1maezifKiR31a8jiynrbfEqY,DepositDirection.WITHDRAW(),2390633217,1639510351,349298582
2022-05-09 19:20:05-04:00,198519,FBxY2hT5ewhngmnCedjEhwFXupse5k4mwm3EvdTKi81d,5rs8XB6qgAN8zc1wVQWBGifq8fHbELPJpNp1nAKkY8VE,DepositDirection.WITHDRAW(),30527684393,-687808384,1508803388
2022-05-09 19:20:05-04:00,198520,5CTWygcWxhEKbGhfhh62x9Yjk4Ka2ucSC5XX5LDjF1Q1,AwbNCbBdSQqeVCLQF1VARyBWLbA71U1hHoDjDNmAPUQG,DepositDirection.WITHDRAW(),298797775,335748538,20174712
2022-05-09 19:20:05-04:00,198521,3TiHvKXh8oqiaAN4mH6oCDBUAbeiXTT4SFybbM11zKXX,3wgXoi7Sahjgth3EG2kmP7uKbvfZ67eshhomNTbzwTuD,DepositDirection.WITHDRAW(),462315709,339866303,61835593
