ts,record_id,user_authority,user,market_index,funding_payment,base_asset_amount,user_last_cumulative_funding,user_last_funding_rate_ts,amm_cumulative_funding_long,amm_cumulative_funding_short
2022-05-07 11:47:54-04:00,704564,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,13,142048389098838,-3000087684208405694,1123243468624,1651918958,1127978276538,1127978276538
2022-05-07 11:47:54-04:00,704565,CZWTVFKR7SCT85rmt5aNu1nX1AH19vd3SxTjkWJwxfe9,6tGVdibMbNDKFWdZeMdaGV1gfdUHhgjffdbYxwS2fgzn,14,-952382207650,-1473190914774553,-31893415276696,1651921218,-31958062852112,-31958062852112
2022-05-07 11:47:59-04:00,704566,7hKLYg2Xwb3R8akkmcHjFer1pU9rFfcYbdtg8Zgj9az3,9FxB8iV6jRWY9nBh2tLSFZRv1kPJYGLZom47Ui4tVUii,3,750801148740,181800000000000,-565099767300404,1651928408,-565512749230404,-624509968021982
2022-05-07 11:47:59-04:00,704567,7hKLYg2Xwb3R8akkmcHjFer1pU9rFfcYbdtg8Zgj9az3,9FxB8iV6jRWY9nBh2tLSFZRv1kPJYGLZom47Ui4tVUii,1,5112845389736,-1345000000000,534653503511121509,1651928449,1086690601895749202,535033640714819425
2022-05-07 11:47:59-04:00,704568,7hKLYg2Xwb3R8akkmcHjFer1pU9rFfcYbdtg8Zgj9az3,9FxB8iV6jRWY9nBh2tLSFZRv1kPJYGLZom47Ui4tVUii,0,-1509852985447,-1948900000000000,559812187789372,1651928411,1631164425625182,559734715728956
2022-05-07 11:47:59-04:00,704569,7hKLYg2Xwb3R8akkmcHjFer1pU9rFfcYbdtg8Zgj9az3,9FxB8iV6jRWY9nBh2tLSFZRv1kPJYGLZom47Ui4tVUii,4,-329213050328,-2109700000000000,141898732845988,1651928410,308490558774829,141883128113072
2022-05-07 11:49:52-04:00,704570,9UKnLqc73kQAKCEzemDmEHGnu7Z97GiayKxzh1G31PhN,8dHoCETE8rJ5XWpAWp4GHq2VsX9R4RYEVwVw78Qxi5mm,0,-208291861070,-772900000000000,559761665122289,1651932140,1631164425625182,559734715728956
2022-05-07 11:49:52-04:00,704571,9UKnLqc73kQAKCEzemDmEHGnu7Z97GiayKxzh1G31PhN,8dHoCETE8rJ5XWpAWp4GHq2VsX9R4RYEVwVw78Qxi5mm,4,-35384138,-200000000000,141900820182238,1651932106,308490558774829,141883128113072
2022-05-07 11:49:52-04:00,704572,9UKnLqc73kQAKCEzemDmEHGnu7Z97GiayKxzh1G31PhN,8dHoCETE8rJ5XWpAWp4GHq2VsX9R4RYEVwVw78Qxi5mm,1,259097473920,-183000000000,534892057395737342,1651932636,1086690601895749202,535033640714819425
2022-05-07 11:50:19-04:00,704573,9MokWoGJ2hQGM8ejv4CnCxuhrkf44R1GBtM1kMwDXmR1,HientFB6W8YiKhyGaDfXQ5EZMiFgLjG58fAWo5kcP15h,1,449230668066,-81000000000,534479034951774843,1651922657,1086690601895749202,535033640714819425
2022-05-07 11:50:19-04:00,704574,9MokWoGJ2hQGM8ejv4CnCxuhrkf44R1GBtM1kMwDXmR1,HientFB6W8YiKhyGaDfXQ5EZMiFgLjG58fAWo5kcP15h,4,-19324954749,-69600000000000,141910893852654,1651925091,308490558774829,141883128113072
2022-05-07 11:50:19-04:00,704575,FfBqRvPqx3Jwj9br8v6fdRvvEGCuCTYe1saBjGZqsGLL,B8vDXpsBKeVGStmXsUijsW4XFK3HQeeeyFrqAjo6Q2UE,1,3839247300238,-514000000000,534286705442399427,1651910888,1086690601895749202,535033640714819425
2022-05-07 11:50:19-04:00,704576,FfBqRvPqx3Jwj9br8v6fdRvvEGCuCTYe1saBjGZqsGLL,B8vDXpsBKeVGStmXsUijsW4XFK3HQeeeyFrqAjo6Q2UE,0,-58487009146,-589500000000000,559744637189371,1651910481,1631164425625182,559734715728956
2022-05-07 11:50:19-04:00,704577,FfBqRvPqx3Jwj9br8v6fdRvvEGCuCTYe1saBjGZqsGLL,B8vDXpsBKeVGStmXsUijsW4XFK3HQeeeyFrqAjo6Q2UE,4,99606158339,-106300000000000,141789425235989,1651910416,308490558774829,141883128113072
2022-05-07 11:51:38-04:00,704578,EapjtDx27xLxAeKFhFUzsYdCT6BeeAEKcJ4NYoMqKubN,CAnQHHktw5txMkhmMGHp88uwiLmsVzZfKWbeuQoXPYyz,15,-7730752186416,6377100000000000,52369437880,1651201278,173596205320,173596205320
2022-05-07 11:55:16-04:00,704579,HHzMh5pytrUg1LhF8KK3ZLkkANS7TNpeyWavY346J6t9,3cuU35DA5xPy7TfMtBmCn3sMHm6DGsZCUuf2jWkcVyFK,14,-53895650127,-37630000000000,-31814837632532,1651896037,-31958062852112,-31958062852112
2022-05-07 11:55:49-04:00,704580,8WZYP8UrFFK1aKhBrh9mRVKgsUPBnFE8aiFSfu5FSA8u,Dk5eoJYe7hh7yr7jeHMxrBsoqwDLiFh3n39rSMhKuMsC,2,1855767142467,-4020000000000,40947011781887663,0,51549909334901405,40993175143640574
2022-05-07 11:56:04-04:00,704581,GajMVcAndTRFScENJBLnsQjL3YeoMBkJb14QL7mkgCiC,9qUv2vsn8qLCiUwJ9ChaJ4XSj98WtBQFNVT3XAgRFb42,2,-1846534470116,4000000000000,51503745973148494,0,51549909334901405,40993175143640574
2022-05-07 09:16:15-04:00,703558,G3LQFkbGK8etLrtHJRSZ8fUYWrtB31SQxpaJWAhuuKWM,4bGtp9CacFCS2UuCdGM724wBaK6EhgdpXWZi4vZE3Xwy,11,6249126282647,-5065228880220506,140210652503964,1651923216,140334025532714,140334025532714
2022-05-07 09:16:15-04:00,703559,G3LQFkbGK8etLrtHJRSZ8fUYWrtB31SQxpaJWAhuuKWM,4bGtp9CacFCS2UuCdGM724wBaK6EhgdpXWZi4vZE3Xwy,8,18482694827679,-25119293634330789,110684846329541,1651924916,191205541605969,110758426005374
2022-05-07 09:16:18-04:00,703560,C4zPb1U2CrEGWZee7Dy6HAX5kMLddtuPzqvTW3Z93AWG,2uBNrscXX79B4LgwY2c3MZDQQ83W9yWNuFbccNBiKrGf,7,552306842979244,-24826901301888321,310226274256708,1651892576,314901049419514,312450904855039
2022-05-07 09:16:31-04:00,703561,EE5gBpmv2tyN9pvFevyFANVxni1vew1tGUf3xEoNjhg8,8HLmiDRde3xYmp6zRigVbeXyCL5Q1zkLLuGWi3tB6fzi,0,-1332439502468,-1619800000000000,559894447296871,1651921214,1631241897685598,559812187789372
2022-05-07 09:16:31-04:00,703562,EE5gBpmv2tyN9pvFevyFANVxni1vew1tGUf3xEoNjhg8,8HLmiDRde3xYmp6zRigVbeXyCL5Q1zkLLuGWi3tB6fzi,4,22245430675,-71000000000000,141867401253488,1651921217,308506163507745,141898732845988
2022-05-07 09:16:31-04:00,703563,EE5gBpmv2tyN9pvFevyFANVxni1vew1tGUf3xEoNjhg8,8HLmiDRde3xYmp6zRigVbeXyCL5Q1zkLLuGWi3tB6fzi,3,-58312172414,-13700000000000,-623671349796983,1651921295,-565099767300404,-624096986091982
2022-05-07 09:16:31-04:00,703564,EE5gBpmv2tyN9pvFevyFANVxni1vew1tGUf3xEoNjhg8,8HLmiDRde3xYmp6zRigVbeXyCL5Q1zkLLuGWi3tB6fzi,1,607664589548,-288000000000,534442508861972760,1651918604,1086310464692051286,534653503511121509
2022-05-07 09:16:32-04:00,703565,3XJxKR4p94kWbYBNCQ3bUDR8T7hDGW2GqiQGe6toSTE4,6f2rqJgjLA6sxiy2wqmMuJgqNnXS4JFWggPBkHYovFzm,3,-169403245409,-39800000000000,-623671349796983,1651921295,-565099767300404,-624096986091982
2022-05-07 09:16:32-04:00,703566,3XJxKR4p94kWbYBNCQ3bUDR8T7hDGW2GqiQGe6toSTE4,6f2rqJgjLA6sxiy2wqmMuJgqNnXS4JFWggPBkHYovFzm,0,-1141350666548,-1387500000000000,559894447296871,1651921214,1631241897685598,559812187789372
2022-05-07 09:16:32-04:00,703567,3XJxKR4p94kWbYBNCQ3bUDR8T7hDGW2GqiQGe6toSTE4,6f2rqJgjLA6sxiy2wqmMuJgqNnXS4JFWggPBkHYovFzm,1,998004690473,-473000000000,534442508861972760,1651918604,1086310464692051286,534653503511121509
