,user_position_pubkey,user_authority,position_index,market_index,quote_asset_amount,base_asset_amount,last_cumulative_funding_rate,entry_price
67,75ufEJmHbLHffphL7tvAXhGyftKLr1z2PXXoB2GGY5fG,Dng7By2saPu5TVxcvXidBe71ggBo8tiHkAXPi4kKL1tk,,,,,,
68,8iahKConWg6fyZrkoze5eeujyNHA26AybYBpHwUr76Cu,8JtUn4uue4WzrySwnDQ74qzzWaKsoo11MbMvRh1ePDJN,0.0,4.0,340.64,3.586663913606,-3.03210990827409,94.97405059553617
69,8j3QGyPRwZZ5xaZyKq2ujhzJViSGGTZVnrxKRQceshBE,2YVzBt1ZTbYxJJ9JRSmei3iGtN6KQQfidkXrkDo3MK8T,,,,,,
70,BC35JUb1znJxJhcaivpyUPt8Ydojec2ohC1TrFv7TntJ,Dc11Q7yj9HoSfndRUB8Ffaz5BcYNFnvbVWuRn8v7Zs7C,0.0,4.0,460.31,4.0053826781416,-2.75160899599501,114.92285181938537
71,7636yXT5w4DcVpc7LJdN46aiggzSq6U2GXHXL5kyy9F3,6u6bPgAmK8ufACrQV99A1Y5nhGkue3KEUHmQQkcNkxwP,0.0,0.0,281.16,1.4961835537556,4.54673664157803,187.9181196012045
72,8oQYncD8StUoxiQDzf9jQJLqiA8hTiManKWQA3LRewpM,48mo5VY76EtLHazqnkmBNEeF5dyBaz6nyzxZ9QQqbeDX,,,,,,
73,8qa2gbyPfNrAGq7y8N5VGGjbL7gNRHqCX5BBQxvwDfSg,3b98RpyrwNWvbrfeE8G1HosPLtZ1LZ8wgHDC1q7B2gUQ,,,,,,
74,36de6kfLrFnWWFK7D7R2U4A1RAtbnEt9kwPDUUzAmvSB,3t37o2wsn3LjYKSAbf6D8AqR77RNrbRGCbbkxYqwr15c,,,,,,
75,5RESxV6aZenjAdaqw1jxoYSGttpLrNuZiRJy2WeLAVJv,cG5VSSaBpjNdRLMQT7dmotpcWRTfdmJZYdWsrzNzRTE,0.0,2.0,244.36,0.0645533377448,182.27250759009843,3785.39682899176
76,C3knR4nsaDYSyt9JDuQTXwiURwQ1haaSp9h9wj12aNvk,F7thyJwWCtT9ZoJKQYe5gDBKz4HPae7tPjPh4qGhWRH5,,,,,,
77,HCdDz6jCmHiQkLWdUM4qdf8VXsy46zYUEkpqDs2mvGow,EV7BjqDu9oeAME7GGwEuzUanYPKtdKQA1NuWkLSva6xQ,,,,,,
78,8FbDsYR25PBf2Ff3PTU89niZzQjUSSQtXQqqXyxCfbSZ,A4zWQGNczRjVqWVKNzsi14beVerfyZe3nBGbJwsguwiV,,,,,,
79,3szkAGxkxdKCQsxFEBDhGGmZVdpc3vzFKm9vzGR1QCSs,4DefHiAxdxdjH4zQAhP24GMEJ53JsTYFcJ4QnDiKFqPe,0.0,1.0,41.11,0.0008455235281,4108.65826916019,48620.764099113185
80,5PQMnqPsLpC1QVeBNerGHXY5QAgqpNH6LbfV6Rtr8cSD,EL6Bjmeh4XhweE2rLyfxFPTaUxn6tRuGjvzQnerZ9tsU,0.0,0.0,2.94,0.0148405396253,1.71551109454108,198.1060038401783
81,5ixXUV4jwd1EzznhyX2j6TEvqW8dq6koXX7cySc2hjLg,BQr7gf1QWqHUWi5FNPFtQKmDwrXeJe5FDKegDrXBUeVP,,,,,,
82,8LQHKhXStrwcd6f4AxaTVcrGdYpGjQz8vWf5JXsAzcsp,HZSJVNb6g4o52N7pAJCLkGjur8evF5Ex1sAx7uUxUDdm,0.0,0.0,12.19,0.0677135462574,1.30385329745373,180.02306294315264
83,G6c4Szn97GGMRaT9NBqki8GdgGSHZy92DujqrPeaEBQD,4sgPddDZ1o8KTrWW85J4qKZiPEoFbPTjfbM3HASeq7Tt,0.0,0.0,15.0,0.0650885041821,-2.84103073863307,230.45544199378227
84,8gWYBMgtVXJiyD2dxSnFWPb9xMsQ9uruzSrBq7JViEyB,AUyjkpB8YkmAhVt5YqLBhfGCxkRLgQcMKV6nKNmrCpDd,,,,,,
85,GXdKQjc1oiprfvN1oUafE6peFaixMFcrdT7fkMY6KfKW,4g1J9nZv1DN2YBLE9id64sV18NQoRdFkZkfWGz6J9n2H,0.0,1.0,230.46,-0.0049563640754,2171.740564220013,46497.79485406364
86,DTJTuUoyk46ScBcMmWWbcDq9KHMwm8dkkYnxuzQDbnvi,57Egm7BLeEhC2shUtHE2CTrFZP793uzgzJxxAGUYziKg,,,,,,
87,22voQuaMVuZMh1J21QHjPth5oVyAgGJV53uRsXauAsC9,9JZBFFR9zPs12gdwr1bQfm6dNogbzJA1e4VjkuDdFPCT,0.0,0.0,112418.33,-717.4426244880844,-1.49827619457791,156.69312940559345
88,22voQuaMVuZMh1J21QHjPth5oVyAgGJV53uRsXauAsC9,9JZBFFR9zPs12gdwr1bQfm6dNogbzJA1e4VjkuDdFPCT,1.0,1.0,66458.6,-1.5754963501423,3276.467231495564,42182.64294550566
89,22voQuaMVuZMh1J21QHjPth5oVyAgGJV53uRsXauAsC9,9JZBFFR9zPs12gdwr1bQfm6dNogbzJA1e4VjkuDdFPCT,2.0,2.0,45437.26,-13.3991822252896,228.8423893142937,3391.0472472149663
90,22voQuaMVuZMh1J21QHjPth5oVyAgGJV53uRsXauAsC9,9JZBFFR9zPs12gdwr1bQfm6dNogbzJA1e4VjkuDdFPCT,3.0,4.0,4172.38,-48.9511070097696,-2.76251578535334,85.23566176281328
91,22voQuaMVuZMh1J21QHjPth5oVyAgGJV53uRsXauAsC9,9JZBFFR9zPs12gdwr1bQfm6dNogbzJA1e4VjkuDdFPCT,4.0,5.0,13689.71,-29.4969997680697,-1.31043196972898,464.1051668861257
92,BrHyDBpGyW4tJDkJ7Yoxz8EpcuByy4THrCSYx1igQ59k,5F61YFpQzJUTjv7sy4dAVGUYszjTtzeH7SD3QQkhjMBr,0.0,1.0,138.01,-0.0027355157061,2632.5052533731487,50451.18172498435
93,7cw85p5xL9VvmgKMUrkdeuSH5SYfh5SovFSXf7XFVYcg,65ZeUg4v9TFaSK4gUz2yifKWdevvcH4UsYuXdryuzyR3,,,,,,
94,CDJRRS4xLcJ7ezbybbChUzi5Dv15Fb8mi3mazgJbp4RW,3QHPEA6p8M1HPc4QCUdynHNPzLfXPxXq8xeuAAadfUQ8,,,,,,
95,Fp2zohjQyJ3216y8QkT4BkcEfvDFJjt3tZ6mMTVT6SBZ,HcaY2wJqPAyx8SStfWRH5khkfXZniki1JxHsUNmrjJ6G,0.0,2.0,20594.21,-5.1165999998467,209.0753022214564,4024.979478680574
